Model_id,Year,i_import,diffiv_local_0,diffiv_local_1,diffiv_local_2,diffiv_local_3,diffiv_ed_0,blpiv_0,blpiv_1,blpiv_2,blpiv_3,blpiv_4,blpiv_5
33,1997,1,14,11,20,30,119.3352416769687,29.51255831867456,51.53925323486328,5.927579522132874,1,2,7
33,1998,1,12,9,15,21,128.5228416558121,27.06843111664057,55.33575105667114,6.586340308189392,0,3,6
33,1999,1,8,12,9,19,141.3748244336877,32.33762998133898,63.01247787475586,7.267347395420074,0,3,8
33,2000,1,5,13,8,14,173.6935697996862,35.8231645077467,58.21715784072876,6.700910329818726,0,2,7
33,2001,1,9,11,13,12,175.8938771552839,39.13922011852264,66.06951379776001,7.605218231678009,1,2,8
33,2002,1,9,11,14,14,171.4920624432825,35.75461730360985,67.05789375305176,7.613030612468719,1,2,8
33,2003,1,14,15,19,22,152.9420121917297,47.44362309575081,74.79864597320557,8.930590152740479,2,2,9
33,2004,1,14,23,25,24,155.9023448277494,61.75757721066475,84.14814901351929,9.854481756687164,2,3,11
33,2005,1,8,6,15,11,244.7780629491766,78.126535192132,92.11770629882813,10.59889703989029,2,2,12
33,2006,1,15,12,20,26,176.4450655364286,100.8506447076797,114.4751822948456,12.87147760391235,1,0,14
33,2007,1,14,12,25,25,191.7073553883102,97.72886000573635,109.4990034103394,12.02537620067596,2,0,13
33,2008,1,24,19,24,34,171.8805290593713,122.717622295022,127.6014785766602,13.65645307302475,2,2,16
33,2009,1,23,19,15,20,183.4577700266966,96.67267091572285,138.8785338401794,15.76712572574615,2,0,17
33,2010,1,10,14,18,21,194.0678907646567,118.821232393384,148.3110823631287,17.26211553812027,3,0,19
33,2011,1,14,16,13,26,193.7933048067127,135.785960406065,145.8516807556152,16.80300152301788,3,0,19
33,2012,1,47,55,39,33,136.4189460780991,155.4822959005833,164.3315668106079,18.97827839851379,3,2,20
33,2013,1,25,36,30,41,156.826014752815,145.0586140155792,163.1246867179871,18.97263079881668,3,1,20
33,2014,1,39,39,43,42,146.7908183126075,141.8238651007414,171.938127040863,19.85678279399872,3,0,20
33,2015,1,34,38,31,47,137.017843240223,92.50869043171406,159.7187404632568,18.1363513469696,3,0,19
34,2011,1,21,17,27,20,172.6432946436606,136.3941490650177,146.3290657997131,16.76388514041901,3,0,19
34,2012,1,12,34,26,26,163.2567292363974,154.7600410878658,163.4110054969788,18.97270536422729,3,2,20
34,2013,1,20,28,29,33,169.1847697946638,144.4667156785727,162.7618746757507,18.97639828920364,3,1,20
34,2014,1,24,33,32,34,164.7622183028457,141.514053940773,170.6888589859009,19.85926848649979,3,0,20
34,2015,1,19,23,31,28,156.892132493622,92.25564897060394,158.4694724082947,18.14121913909912,3,0,19
35,1997,1,4,4,4,5,217.1514546325837,29.45740390568972,49.30870962142944,5.855354905128479,1,2,7
35,1998,1,5,6,7,7,194.9839251213474,26.95188689976931,53.85341787338257,6.538393676280975,0,3,6
35,1999,1,4,7,7,4,235.5551140098077,32.26585555821657,61.4140100479126,7.222891867160797,0,3,8
